name,description,gx_media_links,WKT,longitude,latitude
"Fabrik","https://www.facebook.com/groups/630193237595288/permalink/720419228572688/",,"POINT Z (13.777929 52.844257 0)",13.777929,52.844257
"Bergwerk","https://www.facebook.com/groups/630193237595288/permalink/720934281854516",,"POINT Z (7.136212 51.667654 0)",7.136212,51.667654
"Schule","https://www.facebook.com/groups/630193237595288/permalink/722154795065798/",,"POINT Z (9.96805555555556 53.5136111111111 0)",9.96805555555556,53.5136111111111
"Krankenhaus ","https://www.facebook.com/groups/630193237595288/permalink/722829534998324/",,"POINT Z (8.60027777777778 45.9809722222222 0)",8.60027777777778,45.9809722222222
"Hotel","Hauptlink https://www.facebook.com/groups/630193237595288/permalink/722849381663006/                                                                                                       Brand                          https://www.facebook.com/groups/630193237595288/permalink/749434739004470/",,"POINT Z (9.9204167 54.66325 0)",9.9204167,54.66325
"Hof","https://www.facebook.com/groups/630193237595288/permalink/723387641609180/",,"POINT Z (8.33283 52.07851 0)",8.33283,52.07851
"Haus",,,"POINT Z (7.4352463 51.4181248 0)",7.4352463,51.4181248
"Waffenlager Army",,,"POINT Z (10.120356 49.727144 0)",10.120356,49.727144
"Munitionsdepot","https://www.facebook.com/groups/630193237595288/permalink/725961134685164/",,"POINT Z (8.806799 49.930056 0)",8.806799,49.930056
"Ferienheim","https://www.facebook.com/groups/630193237595288/permalink/726166697997941/",,"POINT Z (13.621708 54.392216 0)",13.621708,54.392216
"Bunker","https://www.facebook.com/groups/630193237595288/permalink/726166127997998",,"POINT Z (10.1778383 54.3315256 0)",10.1778383,54.3315256
"Militär","https://www.facebook.com/groups/630193237595288/permalink/732944640653480/",,"POINT Z (8.73405603977514 50.3332670574677 0)",8.73405603977514,50.3332670574677
"Fabrik","https://www.facebook.com/groups/630193237595288/permalink/732934077321203",,"POINT Z (9.4805417 47.1616877 0)",9.4805417,47.1616877
"Firma","https://www.facebook.com/groups/630193237595288/permalink/732927207321890/",,"POINT Z (7.3801031 51.3821829 0)",7.3801031,51.3821829
"Villa","https://www.facebook.com/groups/630193237595288/permalink/733392140608730/",,"POINT Z (12.7018823 49.9781257 0)",12.7018823,49.9781257
"Halle","https://www.facebook.com/groups/630193237595288/permalink/733465367268074/",,"POINT Z (6.324239 51.509132 0)",6.324239,51.509132
"Hochhaus","<a href=""https://www.youtube.com/watch?v=LFmmOpYbEzU""><img src=""https://img.youtube.com/vi/LFmmOpYbEzU/hqdefault.jpg"" height=""200"" width=""auto"" /></a><br><br><a href=""https://www.youtube.com/embed/LFmmOpYbEzU"">https://www.youtube.com/embed/LFmmOpYbEzU</a><br><br>https://www.facebook.com/groups/630193237595288/permalink/733895873891690","https://www.youtube.com/embed/LFmmOpYbEzU","POINT Z (11.961255 51.687165 0)",11.961255,51.687165
"Halle","https://www.facebook.com/groups/630193237595288/permalink/733893850558559",,"POINT Z (11.9836875 51.7653125 0)",11.9836875,51.7653125
"Haus",,,"POINT Z (5.446216 51.0721152 0)",5.446216,51.0721152
"Bahn","https://www.facebook.com/groups/630193237595288/permalink/739385476676063/",,"POINT Z (9.125116 48.758121 0)",9.125116,48.758121
"Rangierbahnhof","https://www.facebook.com/groups/630193237595288/permalink/742696709678273/",,"POINT Z (8.535338 49.451674 0)",8.535338,49.451674
"Haus","https://www.facebook.com/groups/630193237595288/permalink/742808383000439/",,"POINT Z (13.737626 51.599567 0)",13.737626,51.599567
"Fabrik","https://www.facebook.com/groups/630193237595288/permalink/742808239667120/",,"POINT Z (8.093999 49.370104 0)",8.093999,49.370104
